id,province_id,name
82623,826,TAFT
83701,837,ABUYOG
83702,837,ALANGALANG
83703,837,ALBUERA
83705,837,BABATNGON
83706,837,BARUGO
83707,837,BATO
83708,837,CITY OF BAYBAY
83710,837,BURAUEN
83713,837,CALUBIAN
83714,837,CAPOOCAN
83715,837,CARIGARA
83717,837,DAGAMI
83718,837,DULAG
83719,837,HILONGOS
83720,837,HINDANG
83721,837,INOPACAN
83722,837,ISABEL
83723,837,JARO
83724,837,JAVIER (BUGHO)
83725,837,JULITA
83726,837,KANANGA
83728,837,LA PAZ
83729,837,LEYTE
83730,837,MACARTHUR
83731,837,MAHAPLAG
83733,837,MATAG-OB
83734,837,MATALOM
83735,837,MAYORGA
83736,837,MERIDA
83738,837,ORMOC CITY
83739,837,PALO
83740,837,PALOMPON
83741,837,PASTRANA
83742,837,SAN ISIDRO
83743,837,SAN MIGUEL
83744,837,SANTA FE
83745,837,TABANGO
83746,837,TABONTABON
83747,837,TACLOBAN CITY (Capital)
83748,837,TANAUAN
83749,837,TOLOSA
83750,837,TUNGA
83751,837,VILLABA
84801,848,ALLEN
84802,848,BIRI
84803,848,BOBON
84804,848,CAPUL
84805,848,CATARMAN (Capital)
84806,848,CATUBIG
84807,848,GAMAY
84808,848,LAOANG
84809,848,LAPINIG
84810,848,LAS NAVAS
84811,848,LAVEZARES
84812,848,MAPANAS
84813,848,MONDRAGON
84814,848,PALAPAG
84815,848,PAMBUJAN
84816,848,ROSARIO
84817,848,SAN ANTONIO
84818,848,SAN ISIDRO
84819,848,SAN JOSE
84820,848,SAN ROQUE
84821,848,SAN VICENTE
84822,848,SILVINO LOBOS
84823,848,VICTORIA
84824,848,LOPE DE VEGA
86001,860,ALMAGRO
86002,860,BASEY
86003,860,CALBAYOG CITY
86004,860,CALBIGA
86005,860,CITY OF CATBALOGAN (Capital)
86006,860,DARAM
86007,860,GANDARA
86008,860,HINABANGAN
86009,860,JIABONG
86010,860,MARABUT
86011,860,MATUGUINAO
86012,860,MOTIONG
86013,860,PINABACDAO
86014,860,SAN JOSE DE BUAN
86015,860,SAN SEBASTIAN
